Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Adapter_Black_5617;83880564;760558669;RND475758403;Чехол для Samsung Galaxy S24 Plus KZDOO (K-DOO) Air Skin с защитой камер, синий супертонкий чехол для Самсунг Галакси S24 Плюс;'70;KZDOO;Продается;;2;'4.70;Показывается;;05.07.2024 14:37;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;2980.0;11990.0;;0%
Protector_Titanium_7721;79784616;558103665;RND307614372;Чехол для Samsung Galaxy S24 Plus KZDOO (K-DOO) Air Skin с защитой камер, титанового цвета супертонкий чехол для Самсунг Галакси S24 Плюс;'70;KZDOO;Продается;;8;'4.70;Показывается;;05.07.2024 14:39;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;2980.0;11990.0;;0%
Accessory_Purple_3751;18284486;765506536;RND143476690;Чехол для Samsung Galaxy S24 Plus KZDOO (K-DOO) Air Skin с защитой камер, зеленый супертонкий чехол для Самсунг Галакси S24 Плюс;'70;KZDOO;Продается;;7;'4.70;Показывается;;05.07.2024 14:43;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;2980.0;11990.0;;0%
Case_Blue_9294;52213154;344560627;RND503852881;Чехол для Samsung Galaxy S24 Plus KZDOO (K-DOO) Air Skin с защитой камер, фиолетовый супертонкий чехол для Самсунг Галакси S24 Плюс;'70;KZDOO;Продается;;13;'4.70;Показывается;;05.07.2024 14:50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;2980.0;11990.0;;0%
Adapter_White_4942;76325217;524363028;4159472471422;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, титанового цвета чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Продается;;2;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;5980.0;11990.0;;0%
Cover_Green_1687;45372531;332284168;3153233151968;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, розовый чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Продается;;2;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;5980.0;11990.0;;0%
Cover_Blue_3779;75952933;678190320;9965324669489;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, белый чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Готов к продаже;;1;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;5980.0;11990.0;;0%
Glass_Titanium_6307;91454257;851042211;RND589064348;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, красный чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Продается;;0;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;5;0;0;5980.0;11990.0;;0%
Accessory_White_3773;29045334;804625586;9662195963342;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, синий чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Продается;;1;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;5980.0;11990.0;;0%
Case_Blue_6632;36498753;968451006;RND404537393;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, черный чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Продается;;7;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;10;0;0;5980.0;11990.0;;0%
Case_Black_2404;33859911;958984306;RND689701323;Кожаный чехол для Samsung Galaxy S24+ KZDOO Noble Collection, зеленый чехол для Самсунг Галкси S24 Плюс (S24 Plus);'45;KZDOO;Продается;;0;'5.00;Показывается;;06.07.2024 8:50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;6520.0;11990.0;;0%
Cable_Purple_4330;99649061;955920137;2419600411454;Чехол для Samsung Galaxy S24+ KZDOO KEIVLAR, черный кевларовый чехол для Самсунг Галакси S24 Плюс (S24 Plus);'70;KZDOO;Готов к продаже;;3;'5.00;Показывается;;06.07.2024 9:02;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;6090.0;11990.0;;0%
Accessory_Green_2321;56427222;581885885;RND258808023;Чехол для Samsung Galaxy S24+ KZDOO KEIVLAR, кевларовый чехол титанового цвета для Самсунг Галакси S24 Плюс (S24 Plus);'70;KZDOO;Продается;;1;'5.00;Показывается;;06.07.2024 9:06;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;6090.0;11990.0;;0%
Adapter_Titanium_9931;57067829;248520835;RND827667182;Чехол для Samsung Galaxy S24+ KZDOO iCoat, зеленый чехол для Самсунг S24 Плюс (S24 Plus);'70;KZDOO;Продается;;1;'4.30;Показывается;;06.07.2024 9:15;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;5180.0;11990.0;;0%
Battery_Pink_8806;38338175;203032751;8622236136495;Чeхол для Samsung Galaxy S24+ KZDOO iCoat, черный чехол для Самсунг S24 Плюс (S24 Plus);'70;KZDOO;Продается;;1;'4.30;Показывается;;06.07.2024 9:15;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;5648.0;11990.0;;0%
Cable_Red_7671;94541587;873645558;RND273483432;Чехол для Samsung Galaxy S24+ KZDOO iCoat, розовый чехол для Самсунг S24 Плюс (S24 Plus);'70;KZDOO;Продается;;1;'4.30;Показывается;;06.07.2024 9:15;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;5180.0;11990.0;;0%
